# concept_id	source	quote	added_by	added_at
# source can be DOI/URL/standard-id/internal-doc-path
iter	https://www.iter.org			2026-02-04
east	https://en.wikipedia.org/wiki/Experimental_Advanced_Superconducting_Tokamak			2026-02-04
tokamak	https://en.wikipedia.org/wiki/Tokamak			2026-02-04
neutral-beam-injection	https://en.wikipedia.org/wiki/Neutral_beam_injection			2026-02-04
thomson-scattering	https://en.wikipedia.org/wiki/Thomson_scattering			2026-02-04
tritium-retention	https://en.wikipedia.org/wiki/Tritium			2026-02-04
q95	https://en.wikipedia.org/wiki/Safety_factor_(plasma_physics)			2026-02-04
beta-n	https://en.wikipedia.org/wiki/Beta_(plasma_physics)			2026-02-04
tau-e	https://en.wikipedia.org/wiki/Energy_confinement_time			2026-02-04
tungsten	https://en.wikipedia.org/wiki/Tungsten			2026-02-04
beryllium	https://en.wikipedia.org/wiki/Beryllium			2026-02-04
nb3sn	https://en.wikipedia.org/wiki/Niobium%E2%80%93tin			2026-02-04

tokamak-exhaust-processing-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11
breeder-tritium-extraction-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11
isotope-separation-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11
water-detritiation-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11
storage-and-delivery-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11
coolant-purification-system	internal:TRITIUM-CYCLE:system-abbreviations			2026-02-11

preliminary-safety-analysis-report	internal:BEST:PSAR			2026-02-11
final-safety-analysis-report	internal:BEST:FSAR			2026-02-11

alara	internal:BEST:radiation-protection			2026-02-11
dose-constraint	internal:BEST:radiation-protection			2026-02-11
dose-limit	internal:BEST:radiation-protection			2026-02-11
radiation-shielding	internal:FUSION-SHIELDING-2022			2026-02-11
shielding-penetration	internal:FUSION-SHIELDING-2022			2026-02-11
skyshine	internal:FUSION-SHIELDING-2022			2026-02-11
radiation-streaming	internal:FUSION-SHIELDING-2022			2026-02-11
shielding-labyrinth	internal:FUSION-SHIELDING-2022			2026-02-11

occupational-exposure	internal:BEST:radiation-protection			2026-02-11
public-exposure	internal:BEST:radiation-protection			2026-02-11
effective-dose	internal:BEST:radiation-protection			2026-02-11
equivalent-dose	internal:BEST:radiation-protection			2026-02-11
derived-air-concentration	internal:BEST:radiation-protection			2026-02-11

# ---- Plasma physics
plasma-confinement	https://en.wikipedia.org/wiki/Plasma_confinement			2026-03-16
magnetic-confinement	https://en.wikipedia.org/wiki/Magnetic_confinement_fusion			2026-03-16
plasma-equilibrium	internal:plasma-physics:equilibrium			2026-03-16
magnetohydrodynamics	https://en.wikipedia.org/wiki/Magnetohydrodynamics			2026-03-16
plasma-instability	https://en.wikipedia.org/wiki/Plasma_stability			2026-03-16
edge-localized-mode	https://en.wikipedia.org/wiki/Edge-localized_mode			2026-03-16
disruption	https://en.wikipedia.org/wiki/Tokamak#Disruptions			2026-03-16
runaway-electron	internal:plasma-physics:runaway-electrons			2026-03-16
plasma-current	internal:plasma-physics:plasma-current			2026-03-16
bootstrap-current	https://en.wikipedia.org/wiki/Bootstrap_current			2026-03-16
ohmic-heating	internal:plasma-physics:ohmic-heating			2026-03-16
electron-cyclotron-resonance-heating	https://en.wikipedia.org/wiki/Electron_cyclotron_resonance			2026-03-16
ion-cyclotron-resonance-heating	internal:plasma-physics:ICRH			2026-03-16
lower-hybrid-current-drive	internal:plasma-physics:LHCD			2026-03-16
h-mode	https://en.wikipedia.org/wiki/High-confinement_mode			2026-03-16
l-mode	internal:plasma-physics:confinement-modes			2026-03-16
pedestal	internal:plasma-physics:pedestal			2026-03-16
scrape-off-layer	https://en.wikipedia.org/wiki/Scrape-off_layer			2026-03-16
separatrix	internal:plasma-physics:magnetic-topology			2026-03-16
x-point	internal:plasma-physics:magnetic-topology			2026-03-16
magnetic-island	https://en.wikipedia.org/wiki/Magnetic_island			2026-03-16
